k,condition,n,recovery_success_rate,action_accuracy,mean_payload_tokens_proxy,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,policy_action_accuracy,mean_policy_tokens,mean_end_to_end_tokens
13,P3,24,0.75,0.75,172.125,712.125,171.25,883.375,,0,883.375
13,P4,24,0.875,0.875,202.5,763.375,160.25,923.625,,0,923.625
13,P5,24,0.7916666666666666,0.7916666666666666,185.875,731.375,115.25,846.625,0.625,723,1569.625
13,P5-oracle,24,1,1,168.5,710.5,138.25,848.75,,0,848.75
13,adaptive,24,0.7916666666666666,0.7916666666666666,185.875,731.375,118.54166666666667,849.9166666666666,0.625,723,1572.9166666666667
14,P0,24,0,0.25,6,234,184.66666666666666,418.6666666666667,,0,418.6666666666667
14,P1,24,0.8333333333333334,0.8333333333333334,159.5,711.25,182.5,893.75,,0,893.75
14,P1-pad,24,0.7916666666666666,0.7916666666666666,178.125,736.75,185.83333333333334,922.5833333333334,,0,922.5833333333334
14,P2,24,0.75,0.75,170.5,727.875,132.95833333333334,860.8333333333334,,0,860.8333333333334
14,P3,24,0.75,0.75,178.125,737.625,171.54166666666666,909.1666666666666,,0,909.1666666666666
14,P4,24,0.625,0.6666666666666666,208.5,788.875,159.58333333333334,948.4583333333334,,0,948.4583333333334
14,P5,24,0.5416666666666666,0.5416666666666666,185.625,749.75,124.75,874.5,0.625,741.375,1615.875
14,P5-oracle,24,1,1,174.5,736,140.58333333333334,876.5833333333334,,0,876.5833333333334
14,adaptive,24,0.5416666666666666,0.5416666666666666,185.625,749.75,122.79166666666667,872.5416666666666,0.625,741.375,1613.9166666666667
15,P0,24,0,0.25,6,234,195.66666666666666,429.6666666666667,,0,429.6666666666667
15,P1,24,0.8333333333333334,0.8333333333333334,165.5,736.75,183.66666666666666,920.4166666666666,,0,920.4166666666666
15,P1-pad,24,0.875,0.875,184.125,762.25,183.375,945.625,,0,945.625
15,P2,24,0.7916666666666666,0.8333333333333334,176.5,753.375,148.54166666666666,901.9166666666666,,0,901.9166666666666
