k,comparator,baseline,n_pairs,paired_success_difference,bootstrap_95_low,bootstrap_95_high
1,P0,P1,18,-0.6666666666666666,-0.8888888888888888,-0.4444444444444444
1,P1-pad,P1,18,0.0,0.0,0.0
1,P2,P1,18,-0.16666666666666666,-0.3333333333333333,0.0
1,P3,P1,18,0.0,0.0,0.0
1,P4,P1,18,-0.2222222222222222,-0.4444444444444444,-0.05555555555555555
1,P5,P1,18,0.0,0.0,0.0
1,adaptive,P1,18,0.0,0.0,0.0
2,P0,P1,18,-0.6666666666666666,-0.8888888888888888,-0.4444444444444444
2,P1-pad,P1,18,0.0,0.0,0.0
2,P2,P1,18,-0.16666666666666666,-0.3333333333333333,0.0
2,P3,P1,18,0.0,0.0,0.0
2,P4,P1,18,-0.1111111111111111,-0.2777777777777778,0.0
2,P5,P1,18,0.0,0.0,0.0
2,adaptive,P1,18,0.0,0.0,0.0
3,P0,P1,18,-0.6666666666666666,-0.8888888888888888,-0.4444444444444444
3,P1-pad,P1,18,0.0,0.0,0.0
3,P2,P1,18,-0.16666666666666666,-0.3333333333333333,0.0
3,P3,P1,18,0.0,0.0,0.0
3,P4,P1,18,-0.2777777777777778,-0.5,-0.1111111111111111
3,P5,P1,18,0.0,0.0,0.0
3,adaptive,P1,18,0.0,0.0,0.0
4,P0,P1,18,-0.8333333333333334,-1.0,-0.6666666666666666
4,P1-pad,P1,18,0.0,0.0,0.0
4,P2,P1,18,0.0,-0.2777777777777778,0.2777777777777778
4,P3,P1,18,0.16666666666666666,0.0,0.3333333333333333
4,P4,P1,18,0.0,-0.2777777777777778,0.2777777777777778
4,P5,P1,18,0.16666666666666666,0.0,0.3333333333333333
4,adaptive,P1,18,0.16666666666666666,0.0,0.3333333333333333
5,P0,P1,18,-0.8333333333333334,-1.0,-0.6666666666666666
5,P1-pad,P1,18,0.0,0.0,0.0
5,P2,P1,18,0.0,-0.2777777777777778,0.2777777777777778
5,P3,P1,18,0.16666666666666666,0.0,0.3333333333333333
5,P4,P1,18,-0.1111111111111111,-0.3333333333333333,0.1111111111111111
5,P5,P1,18,0.16666666666666666,0.0,0.3333333333333333
5,adaptive,P1,18,0.16666666666666666,0.0,0.3333333333333333
6,P0,P1,18,-0.6666666666666666,-0.8888888888888888,-0.4444444444444444
6,P1-pad,P1,18,0.0,0.0,0.0
6,P2,P1,18,0.16666666666666666,0.0,0.3333333333333333
6,P3,P1,18,0.3333333333333333,0.1111111111111111,0.5555555555555556
6,P4,P1,18,0.16666666666666666,0.0,0.3333333333333333
6,P5,P1,18,0.3333333333333333,0.1111111111111111,0.5555555555555556
6,adaptive,P1,18,0.3333333333333333,0.1111111111111111,0.5555555555555556
7,P0,P1,18,-0.6666666666666666,-0.8888888888888888,-0.4444444444444444
7,P1-pad,P1,18,-0.05555555555555555,-0.16666666666666666,0.0
7,P2,P1,18,0.16666666666666666,0.0,0.3333333333333333
7,P3,P1,18,0.3333333333333333,0.1111111111111111,0.5555555555555556
7,P4,P1,18,0.16666666666666666,0.0,0.3333333333333333
7,P5,P1,18,0.3333333333333333,0.1111111111111111,0.5555555555555556
7,adaptive,P1,18,0.3333333333333333,0.1111111111111111,0.5555555555555556
8,P0,P1,18,-0.6666666666666666,-0.8888888888888888,-0.4444444444444444
8,P1-pad,P1,18,-0.05555555555555555,-0.16666666666666666,0.0
8,P2,P1,18,0.16666666666666666,0.0,0.3333333333333333
8,P3,P1,18,0.3333333333333333,0.1111111111111111,0.5555555555555556
8,P4,P1,18,0.1111111111111111,0.0,0.2777777777777778
8,P5,P1,18,0.3333333333333333,0.1111111111111111,0.5555555555555556
8,adaptive,P1,18,0.3333333333333333,0.1111111111111111,0.5555555555555556
